,video_id,popularity,title_length,nation
154,uovntV3ZMDc,39,44,GB
155,D_eZxSYRhco,39,31,GB
156,p1DAEZNyJ8E,39,43,GB
157,7FM_MfpYOLU,39,48,GB
158,kNg_RFDYpTw,39,49,GB
159,I2sRc3j7IU0,39,47,GB
160,R1TSiB9OuVM,39,41,GB
161,VQhjbCxOxdo,39,55,GB
162,4AtOU0dDXv8,39,56,GB
163,h-6fIyaVmDM,39,79,GB
164,GfxNGjfSKRY,39,60,GB
165,2VggEmXPnGw,39,39,GB
166,y06RDyNXqbM,39,27,GB
167,Il-an3K9pjg,38,34,GB
168,fGqdIPer-ms,38,33,GB
169,9S1Gc1nSXd4,38,47,GB
170,9_LIP7qguYw,38,75,GB
171,#NAME?,38,40,GB
172,5x-d3pabd5o,38,36,GB
173,IUmdcd_8Vwc,38,24,GB
174,8BAhwgjMvnM,38,46,GB
175,EbSOKsFHwU8,38,41,GB
176,m4-sL1r9i1I,38,44,GB
177,FRjOSmc01-M,38,34,GB
178,xpVfcZ0ZcFM,38,18,GB
179,JwAnH6PLimo,38,60,GB
180,xuAH21DkJow,38,41,GB
181,eFjFxgHedgM,38,53,GB
182,E60w-0q8Y0Y,38,71,GB
183,AHwZBYCwxPY,38,60,GB
184,CWAX-tiepMo,38,56,GB
185,H-WEhug-up8,38,13,GB
186,GWMKelv5Bmw,37,28,GB
187,73_OWzBr8Fo,37,55,GB
188,tJFk9dPdxO0,37,47,GB
189,dc89yyOS0Z8,37,40,GB
190,XGd1dq1BatM,37,49,GB
191,bZs2ImrTg5w,37,67,GB
192,kX0vO4vlJuU,37,56,GB
193,71Es-8FfATo,37,50,GB
194,GpxCT36DxKg,37,29,GB
195,0URpDxIjZrQ,37,34,GB
196,M3mJkSqZbX4,37,60,GB
197,u9Mv98Gr5pY,37,29,GB
198,L0xKz5TsYb0,37,45,GB
199,lGEY8IulWiA,37,33,GB
200,chjObfl72xQ,37,32,GB
201,r1CMjQ0QJ1E,37,32,GB
202,f5I79eakR8E,37,22,GB
203,ABLsSWE06q4,37,32,GB
204,xTlNMmZKwpA,37,64,GB
205,MctZLEYlU4s,37,38,GB
206,V6wWKNij_1M,37,38,GB
207,HgknAaKNaMM,37,44,GB
208,MGYJuETPQEg,36,57,GB
209,igT1QKKm2GE,36,24,GB
210,QW8whgmyTNU,36,29,GB
211,2nUW3nIOOOg,36,31,GB
212,9yDNAc8YS9c,36,24,GB
213,kFMZUxX6K6o,36,99,GB
214,2UByqalCfnk,36,34,GB
215,r03V9OEJlgg,36,63,GB
216,E5yFcdPAGv0,36,36,GB
217,8q1NFlE17qs,36,19,GB
218,Ibp6KqGRVbY,36,51,GB
219,CG9yQ8PXf6o,36,52,GB
220,tcaw6lzYt1Q,36,60,GB
221,jQNazsWnQKU,36,25,GB
222,ZcCp7488puc,36,26,GB
223,ItL6vcUrpUs,36,78,GB
224,XcSMdhfKga4,36,37,GB
225,Cyf1eXYE9Bw,36,53,GB
226,L8IYPnnsYJw,36,77,GB
227,yN7N0P2TxHQ,36,48,GB
228,yKVAhDbSito,36,77,GB
229,TXHB9wL4WFg,36,30,GB
230,RHUxyXZBXY8,36,24,GB
231,6wGj89GE6aQ,36,29,GB
232,z5WrgDzNIZ0,36,53,GB
233,au2n7VVGv_c,36,38,GB
234,SupFJHdlVGc,35,88,GB
235,3rkXFyt7EXw,35,90,GB
236,Wd_idMpg_qQ,35,33,GB
237,LJjsm6CVsG8,35,53,GB
238,IP8k2xkhOdI,35,51,GB
239,1SnWTW6YXbE,35,59,GB
240,wrpeEitIEpA,35,50,GB
241,TjXQzRWmb_I,35,59,GB
242,#NAME?,35,75,GB
243,8OARiNiJ_w8,35,48,GB
244,ycy30LIbq4w,35,34,GB
245,qUmfriZoMw0,35,53,GB
246,hHaUQh6Gx-Q,35,30,GB
247,cMD63TwzB1o,35,34,GB
248,7HIt7pA4WqY,35,42,GB
249,e1YqueG2gtQ,35,35,GB
250,zlAqizx7Lf0,35,27,GB
251,IkV5VpEROW0,35,43,GB
252,vecSVX1QYbQ,35,34,GB
253,BJeCOo_CRyE,35,71,GB
254,sJGgV3p8JzY,35,28,GB
255,ixNNLvyCn5Y,35,31,GB
256,WAwRrtH-4Lg,35,18,GB
257,cWGWYAhLuAQ,35,63,GB
258,NHrwcQQ38bA,35,26,GB
259,1ce456Nnkt8,35,33,GB
260,08qd-vsHbaY,35,25,GB
261,RF-Mqs2qC-M,35,96,GB
262,Yg83DR3qIPM,35,59,GB
263,ir0G79oHXMc,35,71,GB
264,5sEaYB4rLFQ,35,69,GB
265,9TRjE7i0ERY,35,45,GB
266,D18e8aU-UWs,35,71,GB
267,LxoGNkLpgZk,35,44,GB
268,xVhnfTwh1OA,35,58,GB
269,gLOxQxMnEz8,35,58,GB
270,jnQ4V-wajLY,34,62,GB
271,EdRmaKHqYJY,34,97,GB
272,vAh7jTAkCKc,34,46,GB
273,MFWF9dU5Zc0,34,32,GB
274,VXa16Zl81vE,34,73,GB
275,Y-iFgDK_D5s,34,36,GB
276,wjOK-U2GhIs,34,30,GB
277,QBL8IRJ5yHU,34,52,US
278,MAjY8mCTXWk,34,83,US
279,7KPcfdbVTic,34,57,GB
280,HEVonh8bjC0,34,54,GB
281,9jI-z9QN6g8,34,87,GB
282,ZbB4SYJNuTo,34,54,GB
283,HE8SYbMsm0E,34,49,GB
284,QS8bma7LRX4,34,21,GB
285,31OMf1H5Rk0,34,30,GB
286,guRbfQFddfg,34,64,GB
287,LHUKKrcXfJs,34,18,GB
288,zT7VEhfezn8,34,78,GB
289,o4fHlldbRHo,34,61,GB
290,udm5jUA-2bs,34,84,GB
291,8JnfIa84TnU,34,54,GB
292,6J-D86wfxiE,34,72,GB
293,dNW0B0HsvVs,34,39,GB
294,xCwwxNbtK6Y,34,58,GB
295,sXP6vliZIHI,34,58,GB
296,t4pRQ0jn23Q,34,61,US
297,WS7f5xpGYn8,33,35,GB
298,0XuOkYlUWIs,33,58,GB
299,0uJUW24505E,33,72,GB
300,mwgUesU1pz4,33,49,GB
301,ydPYNo8o-lI,33,69,GB
302,BNzc6hG3yN4,33,51,GB
303,UfKmSfgFxi8,33,42,US
304,9f5zD7ZSNpQ,33,67,GB
305,CPy0-J6pxKI,33,64,GB
306,TYVD7XzW55I,33,84,GB
307,Ck4xHocysLw,33,40,GB
308,h0xHxZpNAHw,33,34,GB
309,Pgd_Tgi-pbQ,33,39,GB
310,wrvN87l3s08,33,49,GB
311,7C2z4GqqS5E,33,35,GB
312,r-3iathMo7o,33,36,US
313,fzCct3j-pH8,33,56,GB
314,MQIvV800Atk,33,32,GB
315,KIEVOMxKWxc,33,56,GB
316,xLtYmhj-0Kg,33,65,GB
317,4hrrK3rXrR0,33,93,GB
318,_J7dEhYttbQ,33,24,GB
319,_AsPY1bQx70,33,34,GB
320,bYXM3uz1bjM,33,64,GB
321,O5ROSS9ReUY,33,45,GB
322,6uGQ_ypTw08,33,48,GB
323,FlsCjmMhFmw,33,50,GB
324,eEDZuFw34YM,33,49,GB
325,lp_bsz_4e3U,33,59,GB
326,op4B9sNGi0k,32,25,GB
327,YI3tsmFsrOg,32,55,US
328,95Rzsn-zjr0,32,59,GB
329,0GQmGOju6CE,32,36,GB
330,aRsOBFhNjVM,32,17,GB
331,j4KvrAUjn6c,32,42,US
332,gNTIOZ3jJJo,32,50,GB
333,6ZfuNTqbHE8,32,55,GB
334,37lXjnflt9M,32,41,GB
335,rDl3gAJpm_4,32,55,GB
336,aZUopuhqwCM,32,51,GB
337,qE-gdNIL8WI,32,25,GB
338,k3uh0MJeypI,32,21,GB
339,PVbQrvlB_gw,32,15,GB
340,jzD_yyEcp0M,32,76,GB
341,K0GRBMSCIK4,32,73,GB
342,szaJ5aW-LUs,32,42,GB
343,c0arVTRwytA,32,29,GB
344,8h7cnLWQKtM,32,45,GB
345,_7z85ipjSwA,32,31,GB
346,Oapebl0bADA,32,31,GB
347,rWHrWuDnReM,32,19,GB
348,sjVqDg32_8s,32,43,GB
349,sxvC647Yi0A,32,34,GB
350,BHloD113J54,32,64,GB
351,ev2RHDUkE4M,32,66,GB
352,vHwOMWGAg_o,31,36,GB
353,_wNZbgBPz1Q,31,23,GB
354,khPLWaBioOs,31,52,GB
355,QH9UE7FDbcM,31,63,GB
356,Q1JiptOTxno,31,54,GB
357,ryr75N0nki0,31,39,GB
358,p55AlBd8XDU,31,79,GB
359,pspGtXW0QYo,31,16,GB
360,xNNxGzBfZ2k,31,83,GB
361,Xpv-sEKl1B4,31,69,US
362,rNYduKIyEvA,31,78,GB
363,O-fydBL9g_k,31,32,GB
364,bNW6oR670s4,31,79,GB
365,NBSAQenU2Bk,31,53,US
366,iILJvqrAQ_w,31,35,US
367,QNzzJzdgUto,31,92,GB
368,3TCcDE4fi4Y,31,36,GB
369,P3BMmJtbZUs,31,64,GB
370,TZSVf-yD7N8,31,72,GB
371,niviooakBLs,31,50,GB
372,vbZbnpbVc0w,31,35,GB
373,DqSBQqj94JU,31,60,GB
374,LjUXm0Zy_dk,31,42,GB
375,d7gOtEwaJzw,31,67,GB
376,prmQgSpV3fA,31,48,GB
377,asaB53-M2uE,31,62,GB
378,eACohWVwTOc,31,27,GB
379,y0PMqR7IbAQ,31,54,GB
380,34cHO5_LX9g,31,30,GB
381,R9q5lBy2w1E,31,50,GB
382,jVXauWq9Hwg,31,63,GB
383,7pLdjf2NSiU,30,49,GB
384,9vDdx1dba6c,30,26,GB
385,x4CF5pruJz4,30,60,GB
386,9flG5EqRPSc,30,95,GB
387,M84oouivF7k,30,70,GB
388,_KBc4B5JFoQ,30,60,GB
